,level_0,index,PLAYER_NAME,player_impact_estimate,GAME_COUNT
378,378,479,Thon Maker,3.804605102,83
380,380,499,Troy Daniels,3.770382426,79
381,381,195,Ian Mahinmi,3.769816267,82
382,382,457,Solomon Hill,3.768840787,81
383,383,265,Johnathan Motley,3.758431874,35
386,386,229,Jared Dudley,3.651397596,73
387,387,1,Aaron Holiday,3.636536565,86
388,388,453,Shaun Livingston,3.600169147,88
389,389,403,PJ Dozier,3.574572298,13
390,390,428,Robert Williams III,3.553703682,60
392,392,67,Chasson Randle,3.513699169,52
393,393,420,Ray Spalding,3.506556663,28
394,394,168,Frank Ntilikina,3.42804521,47
395,395,44,Brad Wanamaker,3.417963034,91
397,397,274,Jordan Bell,3.390479394,102
398,398,57,CJ Miles,3.344372623,62
399,399,181,Glenn Robinson III,3.312049523,74
400,400,222,Jalen Jones,3.291969936,19
401,401,172,Gary Clark,3.28435939,90
402,402,421,Raymond Felton,3.261312256,87
403,403,268,Jonah Bolden,3.25635124,79
404,404,441,Ryan Broekhoff,3.229337387,79
405,405,194,Ian Clark,3.222964625,80
406,406,328,Lance Thomas,3.218831045,63
407,407,136,Donte DiVincenzo,3.209879161,41
408,408,419,Rawle Alkins,3.155851767,20
409,409,51,Bruce Brown,3.145092347,85
410,410,49,Brandon Sampson,3.13170569,20
411,411,16,Amir Johnson,3.124846228,87
412,412,286,Julian Washburn,3.123285742,24
413,413,408,Patrick Patterson,3.074737796,87
415,415,238,Jaylen Adams,2.989204269,39
416,416,279,Jose Calderon,2.98912049,70
417,417,482,Timothe Luwawu-Cabarrot,2.980541558,74
418,418,451,Shake Milton,2.968596006,33
420,420,383,Moritz Wagner,2.965419326,71
422,422,251,Jevon Carter,2.926567435,56
423,423,200,Isaiah Briscoe,2.923079459,63
424,424,178,Georges Niang,2.919526174,80
425,425,11,Alfonzo McKinnie,2.917220579,95
426,426,70,Chris Boucher,2.909867354,55
427,427,153,Ekpe Udoh,2.869147269,87
429,429,91,Daniel Hamilton,2.842737229,33
430,430,66,Channing Frye,2.791360014,81
431,431,490,Treveon Graham,2.76011017,55
432,432,358,Marquese Chriss,2.731549041,76
433,433,2,Abdel Nader,2.709115293,85
434,434,7,Alex Abrines,2.673821079,42
435,435,15,Amile Jefferson,2.663245836,30
436,436,288,Justin Anderson,2.659129573,65
437,437,130,Dillon Brooks,2.594415317,20
439,439,470,Terrance Ferguson,2.514278507,81
440,440,143,Duncan Robinson,2.427625289,41
441,441,236,Jason Smith,2.413316982,60
443,443,240,Jaylen Morris,2.21887791,14
444,444,255,Jodie Meeks,2.167550904,36
445,445,249,Jerome Robinson,2.15813918,49
446,446,231,Jarell Martin,2.145347844,85
447,447,142,Drew Eubanks,2.110000796,43
448,448,439,Ryan Anderson,2.046551402,76
449,449,32,BJ Johnson,2.000289476,13
450,450,334,Lonnie Walker IV,1.987500892,36
451,451,446,Semi Ojeleye,1.969157482,91
452,452,161,Eric Moreland,1.93890723,37
453,453,407,Patrick McCaw,1.933441775,51
454,454,512,Udonis Haslem,1.930485757,82
455,455,352,Marcus Derrickson,1.885292123,19
456,456,55,C.J. Williams,1.864100215,30
457,457,188,Hamidou Diallo,1.846380456,75
459,459,34,Ben McLemore,1.785087731,38
461,461,523,Wesley Johnson,1.693389237,79
462,462,314,Khyri Thomas,1.687654849,74
464,464,414,Quincy Pondexter,1.649581583,89
465,465,456,Skal Labissiere,1.648254601,72
467,467,531,Yuta Watanabe,1.63259683,36
468,468,134,Donatas Motiejunas,1.63145351,10
469,469,463,Svi Mykhailiuk,1.618636116,60
470,470,187,Guerschon Yabusele,1.55372876,81
471,471,85,DJ Stephens,1.538461538,13
472,472,228,James Nunnally,1.498959253,42
473,473,276,Jordan Loyd,1.477169982,24
474,474,58,Caleb Swanigan,1.473079148,55
475,475,509,Tyrone Wallace,1.428578038,88
476,476,192,Haywood Highsmith,1.401990139,10
477,477,336,Lorenzo Brown,1.387645898,42
478,478,478,Thomas Welsh,1.285841824,28
479,479,234,Jarred Vanderbilt,1.268532014,44
480,480,345,Malcolm Miller,1.231250061,43
483,483,21,Andrew Harrison,1.175557962,25
484,484,69,Chimezie Metu,1.133363495,50
485,485,104,Davon Reed,1.007237268,20
487,487,119,Deonte Burton,0.985760083,51
489,489,413,Quincy Acy,0.941833634,10
490,490,152,Edmond Sumner,0.936676336,52
491,491,198,Isaac Bonga,0.900900781,35
492,492,202,Isaiah Hartenstein,0.892272022,49
493,493,23,Anfernee Simons,0.878466555,58
494,494,116,Deng Adel,0.844177164,25
495,495,175,Gary Trent Jr.,0.813701065,39
496,496,505,Tyler Lydon,0.778848257,62
497,497,377,Milos Teodosic,0.764478483,36
498,498,12,Alize Johnson,0.757997615,25
500,500,46,Brandon Goodwin,0.717160002,32
501,501,516,Wade Baldwin IV,0.676077643,44
502,502,455,Sindarius Thornwell,0.631875408,79
503,503,86,Dairis Bertans,0.624906823,14
504,504,501,Tyler Cavanaugh,0.613544609,20
507,507,149,Dzanan Musa,0.518603736,24
508,508,112,DeVaughn Akoon-Purcell,0.472852597,24
509,509,216,Jacob Evans,0.461422552,70
510,510,185,Grayson Allen,0.452509711,65
511,511,433,Ron Baker,0.39825843,36
513,513,385,Naz Mitrou-Long,0.227196651,28
514,514,365,Melvin Frazier Jr.,0.186785121,43
516,516,343,Malachi Richardson,0.07708816,42
526,526,230,Jared Terrell,-0.798953084,29
527,527,137,Donte Grantham,-0.800206795,10
